Sample_Type,View,X_cm,Y_cm,Time_s,Temperature_C
0cb_70W,Side,0.0,0.0,0,25.23359108
0cb_70W,Top,0.7333333333333334,0.0,0,22.928
0cb_70W,Side,0.0,0.4375,0,24.601705551
0cb_70W,Side,0.0,0.45,0,24.86713028
0cb_70W,Side,0.0,0.4625,0,25.009786606
0cb_70W,Side,0.0,0.47500000000000003,0,24.887521744
0cb_70W,Side,0.0,0.48750000000000004,0,25.121746063
0cb_70W,Top,0.0,0.0,0,28.554
0cb_70W,Top,0.03333333333333333,0.0,0,28.236
0cb_70W,Top,0.06666666666666667,0.0,0,26.203
0cb_70W,Top,0.1,0.0,0,25.771
0cb_70W,Top,0.13333333333333333,0.0,0,24.939
0cb_70W,Top,0.16666666666666666,0.0,0,24.284
0cb_70W,Top,0.2,0.0,0,23.443
0cb_70W,Top,0.23333333333333334,0.0,0,23.919
0cb_70W,Top,0.26666666666666666,0.0,0,23.809
0cb_70W,Top,0.3,0.0,0,23.736
0cb_70W,Top,0.3333333333333333,0.0,0,23.992
0cb_70W,Top,0.3666666666666667,0.0,0,23.369
0cb_70W,Top,0.4,0.0,0,22.928
0cb_70W,Top,0.43333333333333335,0.0,0,22.891
0cb_70W,Top,0.4666666666666667,0.0,0,23.075
0cb_70W,Top,0.5,0.0,0,22.78
0cb_70W,Top,0.5333333333333333,0.0,0,22.854
0cb_70W,Top,0.5666666666666667,0.0,0,22.965
0cb_70W,Top,0.6,0.0,0,23.075
0cb_70W,Top,0.6333333333333333,0.0,0,23.001
0cb_70W,Top,0.6666666666666666,0.0,0,23.112
0cb_70W,Top,0.8,0.0,0,23.406
0cb_70W,Top,0.7666666666666667,0.0,0,22.854
0cb_70W,Side,0.0,0.41250000000000003,0,24.489219666
0cb_70W,Side,0.0,0.4,0,24.683443069
0cb_70W,Side,0.0,0.42500000000000004,0,24.468753815
0cb_70W,Side,0.0,0.375,0,24.530136108
0cb_70W,Side,0.0,0.17500000000000002,0,24.489219666
0cb_70W,Side,0.0,0.1625,0,24.540363312
0cb_70W,Side,0.0,0.15000000000000002,0,24.304901123
0cb_70W,Side,0.0,0.1375,0,24.509679794
0cb_70W,Side,0.0,0.125,0,24.47898674
0cb_70W,Side,0.0,0.1125,0,24.458520889
0cb_70W,Side,0.0,0.1875,0,24.438051224
0cb_70W,Side,0.0,0.1,0,24.7447052
0cb_70W,Side,0.0,0.07500000000000001,0,24.64258194
0cb_70W,Side,0.0,0.0625,0,24.73449707
0cb_70W,Side,0.0,0.05,0,25.040332794
0cb_70W,Side,0.0,0.037500000000000006,0,24.897714615
0cb_70W,Side,0.0,0.025,0,25.172599792
0cb_70W,Side,0.0,0.0125,0,25.101398468
0cb_70W,Side,0.0,0.08750000000000001,0,24.826337814
0cb_70W,Side,0.0,0.2,0,24.468753815
0cb_70W,Side,0.0,0.21250000000000002,0,24.530136108
0cb_70W,Side,0.0,0.225,0,24.489219666
0cb_70W,Side,0.0,0.36250000000000004,0,24.509679794
0cb_70W,Side,0.0,0.35000000000000003,0,24.673229218
0cb_70W,Side,0.0,0.3375,0,24.550590515
0cb_70W,Side,0.0,0.325,0,24.489219666
0cb_70W,Side,0.0,0.3125,0,24.581262589
0cb_70W,Side,0.0,0.30000000000000004,0,24.417575836
0cb_70W,Side,0.0,0.3875,0,24.540363312
0cb_70W,Top,0.7,0.0,0,23.038
0cb_70W,Side,0.0,0.28750000000000003,0,24.550590515
0cb_70W,Side,0.0,0.275,0,24.499448776
0cb_70W,Side,0.0,0.2625,0,24.417575836
0cb_70W,Side,0.0,0.25,0,24.386857986
0cb_70W,Side,0.0,0.23750000000000002,0,24.438051224
0cb_70W,Side,0.0,0.375,5,26.577095032
0cb_70W,Side,0.0,0.3375,5,26.235177994
0cb_70W,Side,0.0,0.35000000000000003,5,26.225105286
0cb_70W,Side,0.0,0.36250000000000004,5,26.355974197
0cb_70W,Side,0.0,0.1125,5,26.587135315
0cb_70W,Side,0.0,0.3125,5,26.577095032
0cb_70W,Side,0.0,0.025,5,26.917974472
0cb_70W,Side,0.0,0.037500000000000006,5,26.536924362
0cb_70W,Side,0.0,0.05,5,26.255319595
0cb_70W,Side,0.0,0.0625,5,26.023469925
0cb_70W,Side,0.0,0.07500000000000001,5,26.053739548
0cb_70W,Side,0.0,0.08750000000000001,5,26.355974197
0cb_70W,Side,0.0,0.1,5,26.536924362
0cb_70W,Side,0.0,0.3875,5,26.767713547
0cb_70W,Side,0.0,0.125,5,27.327667236
0cb_70W,Side,0.0,0.1375,5,27.477184296
0cb_70W,Side,0.0,0.15000000000000002,5,27.735879898
0cb_70W,Side,0.0,0.1625,5,27.79549408
0cb_70W,Side,0.0,0.17500000000000002,5,27.745817184
0cb_70W,Side,0.0,0.1875,5,27.327667236
0cb_70W,Side,0.0,0.2,5,27.177951813
0cb_70W,Side,0.0,0.21250000000000002,5,26.877923965
0cb_70W,Side,0.0,0.225,5,26.627288818
0cb_70W,Side,0.0,0.23750000000000002,5,26.687492371
0cb_70W,Side,0.0,0.25,5,26.827842712
0cb_70W,Side,0.0,0.2625,5,26.968017578
0cb_70W,Side,0.0,0.275,5,27.018035889
0cb_70W,Side,0.0,0.28750000000000003,5,26.8078022
0cb_70W,Side,0.0,0.30000000000000004,5,26.717582703
0cb_70W,Side,0.0,0.325,5,26.466588974
0cb_70W,Side,0.0,0.4,5,26.917974472
0cb_70W,Top,0.0,0.0,5,30.867
0cb_70W,Side,0.0,0.4375,5,27.008033752
0cb_70W,Top,0.8,0.0,5,23.553
0cb_70W,Top,0.7666666666666667,0.0,5,23.001
0cb_70W,Top,0.7333333333333334,0.0,5,22.891
0cb_70W,Top,0.7,0.0,5,23.185
0cb_70W,Top,0.6666666666666666,0.0,5,23.296
0cb_70W,Top,0.6333333333333333,0.0,5,23.075
0cb_70W,Top,0.6,0.0,5,23.001
0cb_70W,Top,0.5666666666666667,0.0,5,23.222
0cb_70W,Top,0.5333333333333333,0.0,5,23.038
0cb_70W,Top,0.5,0.0,5,22.965
0cb_70W,Top,0.4666666666666667,0.0,5,23.112
0cb_70W,Top,0.43333333333333335,0.0,5,23.075
0cb_70W,Top,0.4,0.0,5,23.516
0cb_70W,Top,0.3666666666666667,0.0,5,24.028
0cb_70W,Top,0.3333333333333333,0.0,5,24.684
0cb_70W,Top,0.3,0.0,5,24.757
0cb_70W,Top,0.26666666666666666,0.0,5,25.084
0cb_70W,Top,0.23333333333333334,0.0,5,25.011
0cb_70W,Top,0.2,0.0,5,24.539
0cb_70W,Top,0.16666666666666666,0.0,5,25.662
0cb_70W,Top,0.13333333333333333,0.0,5,26.562
0cb_70W,Top,0.1,0.0,5,27.882
0cb_70W,Top,0.06666666666666667,0.0,5,28.625
0cb_70W,Top,0.03333333333333333,0.0,5,30.728
0cb_70W,Side,0.0,0.0125,5,28.685991287
0cb_70W,Side,0.0,0.48750000000000004,5,27.108016968
0cb_70W,Side,0.0,0.47500000000000003,5,26.998031616
0cb_70W,Side,0.0,0.4625,5,26.707553864
0cb_70W,Side,0.0,0.45,5,26.847877502
0cb_70W,Side,0.0,0.41250000000000003,5,26.927984238
0cb_70W,Side,0.0,0.0,5,31.730333328
0cb_70W,Side,0.0,0.42500000000000004,5,26.988027573
0cb_70W,Side,0.0,0.375,15,29.040254593
0cb_70W,Side,0.0,0.3375,15,29.050079346
0cb_70W,Side,0.0,0.35000000000000003,15,28.951789856
0cb_70W,Side,0.0,0.36250000000000004,15,28.873100281
0cb_70W,Top,0.6666666666666666,0.0,15,23.553
0cb_70W,Side,0.0,0.3875,15,29.275821686
0cb_70W,Side,0.0,0.4,15,29.403219223
0cb_70W,Side,0.0,0.41250000000000003,15,29.432600021
0cb_70W,Side,0.0,0.325,15,29.266016006
0cb_70W,Side,0.0,0.42500000000000004,15,29.285627365
0cb_70W,Side,0.0,0.45,15,28.922288895
0cb_70W,Side,0.0,0.4625,15,28.902614594
0cb_70W,Side,0.0,0.47500000000000003,15,29.030427933
0cb_70W,Side,0.0,0.48750000000000004,15,29.530477524
0cb_70W,Top,0.7,0.0,15,23.369
0cb_70W,Top,0.7333333333333334,0.0,15,23.075
0cb_70W,Top,0.7666666666666667,0.0,15,23.001
0cb_70W,Side,0.0,0.4375,15,29.079547882
0cb_70W,Top,0.8,0.0,15,23.553
0cb_70W,Side,0.0,0.3125,15,29.383628845
0cb_70W,Top,0.03333333333333333,0.0,15,31.318
0cb_70W,Top,0.5666666666666667,0.0,15,23.185
0cb_70W,Top,0.5333333333333333,0.0,15,23.149
0cb_70W,Top,0.5,0.0,15,23.149
0cb_70W,Top,0.4666666666666667,0.0,15,23.222
0cb_70W,Top,0.43333333333333335,0.0,15,23.038
0cb_70W,Top,0.4,0.0,15,23.589
0cb_70W,Top,0.3666666666666667,0.0,15,24.101
0cb_70W,Top,0.0,0.0,15,31.733
0cb_70W,Top,0.3333333333333333,0.0,15,24.902
0cb_70W,Top,0.26666666666666666,0.0,15,25.373
0cb_70W,Top,0.23333333333333334,0.0,15,25.409
0cb_70W,Top,0.2,0.0,15,25.047
0cb_70W,Top,0.16666666666666666,0.0,15,26.095
0cb_70W,Top,0.13333333333333333,0.0,15,26.92
0cb_70W,Top,0.1,0.0,15,28.094
0cb_70W,Top,0.06666666666666667,0.0,15,28.872
0cb_70W,Top,0.3,0.0,15,25.047
0cb_70W,Top,0.6,0.0,15,23.001
0cb_70W,Top,0.6333333333333333,0.0,15,23.149
0cb_70W,Side,0.0,0.30000000000000004,15,30.018621445
0cb_70W,Side,0.0,0.28750000000000003,15,30.349386215
0cb_70W,Side,0.0,0.275,15,30.427074432
0cb_70W,Side,0.0,0.2625,15,30.1743927
0cb_70W,Side,0.0,0.25,15,29.677137375
0cb_70W,Side,0.0,0.23750000000000002,15,29.589162827
0cb_70W,Side,0.0,0.225,15,29.667366028
0cb_70W,Side,0.0,0.2,15,30.495012283
0cb_70W,Side,0.0,0.1875,15,30.834096909
0cb_70W,Side,0.0,0.17500000000000002,15,30.901794434
0cb_70W,Side,0.0,0.1625,15,31.15290451
0cb_70W,Side,0.0,0.15000000000000002,15,31.364959717
0cb_70W,Side,0.0,0.21250000000000002,15,29.921157837
0cb_70W,Side,0.0,0.125,15,30.591993332
0cb_70W,Side,0.0,0.1375,15,31.066041946
0cb_70W,Side,0.0,0.0125,15,33.653793335
0cb_70W,Side,0.0,0.025,15,30.940462112
0cb_70W,Side,0.0,0.037500000000000006,15,29.501121521
0cb_70W,Side,0.0,0.05,15,28.922288895
0cb_70W,Side,0.0,0.0,15,36.565181732
0cb_70W,Side,0.0,0.07500000000000001,15,29.030427933
0cb_70W,Side,0.0,0.08750000000000001,15,29.393424988
0cb_70W,Side,0.0,0.1,15,29.862638474
0cb_70W,Side,0.0,0.1125,15,30.018621445
0cb_70W,Side,0.0,0.0625,15,28.823890686
0cb_70W,Top,0.06666666666666667,0.0,20,29.47
0cb_70W,Top,0.1,0.0,20,28.059
0cb_70W,Top,0.13333333333333333,0.0,20,27.277
0cb_70W,Top,0.16666666666666666,0.0,20,25.987
0cb_70W,Top,0.2,0.0,20,26.346
0cb_70W,Top,0.3,0.0,20,25.482
0cb_70W,Side,0.0,0.48750000000000004,20,30.814746857
0cb_70W,Top,0.3333333333333333,0.0,20,24.866
0cb_70W,Top,0.3666666666666667,0.0,20,23.992
0cb_70W,Top,0.4,0.0,20,23.369
0cb_70W,Top,0.23333333333333334,0.0,20,26.131
0cb_70W,Top,0.03333333333333333,0.0,20,30.554
0cb_70W,Side,0.0,0.47500000000000003,20,30.310520172
0cb_70W,Side,0.0,0.1125,20,31.634292603
0cb_70W,Side,0.0,0.1,20,31.201131821
0cb_70W,Side,0.0,0.08750000000000001,20,30.669521332
0cb_70W,Side,0.0,0.07500000000000001,20,30.329954147
0cb_70W,Side,0.0,0.0625,20,29.999134064
0cb_70W,Side,0.0,0.05,20,30.349386215
0cb_70W,Side,0.0,0.037500000000000006,20,30.882457733
0cb_70W,Side,0.0,0.025,20,31.998828888
0cb_70W,Side,0.0,0.0125,20,34.566493988
0cb_70W,Side,0.0,0.0,20,38.058948517
0cb_70W,Top,0.43333333333333335,0.0,20,23.259
0cb_70W,Top,0.0,0.0,20,33.142
0cb_70W,Top,0.4666666666666667,0.0,20,23.185
0cb_70W,Top,0.26666666666666666,0.0,20,25.59
0cb_70W,Top,0.5333333333333333,0.0,20,23.296
0cb_70W,Side,0.0,0.3125,20,30.698581696
0cb_70W,Side,0.0,0.30000000000000004,20,31.287891388
0cb_70W,Side,0.0,0.28750000000000003,20,31.874246597
0cb_70W,Side,0.0,0.125,20,32.046710968
0cb_70W,Side,0.0,0.1375,20,32.600715637
0cb_70W,Side,0.0,0.15000000000000002,20,32.857730865
0cb_70W,Side,0.0,0.1625,20,32.533992767
0cb_70W,Side,0.0,0.275,20,32.257156372
0cb_70W,Side,0.0,0.2625,20,31.903009415
0cb_70W,Side,0.0,0.25,20,31.307163239
0cb_70W,Top,0.5,0.0,20,23.332
0cb_70W,Side,0.0,0.23750000000000002,20,30.998439789
0cb_70W,Side,0.0,0.225,20,30.950126648
0cb_70W,Side,0.0,0.21250000000000002,20,31.258979797
0cb_70W,Side,0.0,0.2,20,31.864658356
0cb_70W,Side,0.0,0.325,20,30.427074432
0cb_70W,Side,0.0,0.3375,20,30.271642685
0cb_70W,Side,0.0,0.35000000000000003,20,29.950405121
0cb_70W,Side,0.0,0.36250000000000004,20,29.96015358
0cb_70W,Top,0.5666666666666667,0.0,20,23.369
0cb_70W,Top,0.6,0.0,20,23.332
0cb_70W,Top,0.6333333333333333,0.0,20,23.626
0cb_70W,Top,0.6666666666666666,0.0,20,23.663
0cb_70W,Top,0.7,0.0,20,23.185
0cb_70W,Top,0.7333333333333334,0.0,20,23.185
0cb_70W,Top,0.7666666666666667,0.0,20,23.736
0cb_70W,Side,0.0,0.17500000000000002,20,32.362239838
0cb_70W,Top,0.8,0.0,20,23.955
0cb_70W,Side,0.0,0.45,20,30.203577042
0cb_70W,Side,0.0,0.4375,20,30.232753754
0cb_70W,Side,0.0,0.42500000000000004,20,30.572603226
0cb_70W,Side,0.0,0.41250000000000003,20,30.562908173
0cb_70W,Side,0.0,0.4,20,30.553211212
0cb_70W,Side,0.0,0.3875,20,30.475605011
0cb_70W,Side,0.0,0.375,20,30.145200729
0cb_70W,Side,0.0,0.4625,20,30.096532822
0cb_70W,Side,0.0,0.1875,20,32.27627182
0cb_70W,Top,0.6666666666666666,0.0,30,24.028
0cb_70W,Top,0.8,0.0,30,24.43
0cb_70W,Top,0.0,0.0,30,35.851
0cb_70W,Top,0.03333333333333333,0.0,30,33.278
0cb_70W,Top,0.06666666666666667,0.0,30,31.974
0cb_70W,Top,0.4,0.0,30,24.138
0cb_70W,Top,0.13333333333333333,0.0,30,29.575
0cb_70W,Top,0.43333333333333335,0.0,30,23.772
0cb_70W,Top,0.4666666666666667,0.0,30,23.699
0cb_70W,Top,0.5,0.0,30,23.589
0cb_70W,Top,0.5333333333333333,0.0,30,23.846
0cb_70W,Top,0.16666666666666666,0.0,30,27.668
0cb_70W,Top,0.2,0.0,30,27.811
0cb_70W,Top,0.23333333333333334,0.0,30,27.419
0cb_70W,Top,0.26666666666666666,0.0,30,26.776
0cb_70W,Top,0.3,0.0,30,26.382
0cb_70W,Top,0.3333333333333333,0.0,30,25.156
0cb_70W,Top,0.5666666666666667,0.0,30,23.663
0cb_70W,Top,0.6,0.0,30,23.626
0cb_70W,Top,0.6333333333333333,0.0,30,24.065
0cb_70W,Top,0.7,0.0,30,23.809
0cb_70W,Top,0.7333333333333334,0.0,30,23.516
0cb_70W,Top,0.7666666666666667,0.0,30,24.065
0cb_70W,Top,0.3666666666666667,0.0,30,24.502
0cb_70W,Top,0.1,0.0,30,30.762
0cb_70W,Side,0.0,0.125,30,33.549850464
0cb_70W,Side,0.0,0.47500000000000003,30,31.336065292
0cb_70W,Side,0.0,0.25,30,32.638828278
0cb_70W,Side,0.0,0.2625,30,33.370098114
0cb_70W,Side,0.0,0.275,30,33.142654419
0cb_70W,Side,0.0,0.28750000000000003,30,33.123680115
0cb_70W,Side,0.0,0.30000000000000004,30,32.562591553
0cb_70W,Side,0.0,0.3125,30,31.883834839
0cb_70W,Side,0.0,0.325,30,31.297529221
0cb_70W,Side,0.0,0.3375,30,30.930797577
0cb_70W,Side,0.0,0.0,30,39.741760254
0cb_70W,Side,0.0,0.0125,30,37.831016541
0cb_70W,Side,0.0,0.025,30,34.641456604
0cb_70W,Side,0.0,0.037500000000000006,30,32.829204559
0cb_70W,Side,0.0,0.05,30,31.864658356
0cb_70W,Side,0.0,0.0625,30,31.538173676
0cb_70W,Side,0.0,0.07500000000000001,30,31.461219788
0cb_70W,Side,0.0,0.08750000000000001,30,31.874246597
0cb_70W,Side,0.0,0.1,30,32.285827637
0cb_70W,Side,0.0,0.48750000000000004,30,32.190238953
0cb_70W,Side,0.0,0.1125,30,32.762607574
0cb_70W,Side,0.0,0.4625,30,30.843770981
0cb_70W,Side,0.0,0.45,30,30.679208755
0cb_70W,Side,0.0,0.4375,30,30.640455246
0cb_70W,Side,0.0,0.42500000000000004,30,30.78571701
0cb_70W,Side,0.0,0.41250000000000003,30,31.143255234
0cb_70W,Side,0.0,0.4,30,31.181842804
0cb_70W,Side,0.0,0.3875,30,30.959791183
0cb_70W,Side,0.0,0.375,30,30.746997833
0cb_70W,Side,0.0,0.23750000000000002,30,32.419517517
0cb_70W,Side,0.0,0.225,30,32.228481293
0cb_70W,Side,0.0,0.21250000000000002,30,32.35269165
0cb_70W,Side,0.0,0.2,30,33.161621094
0cb_70W,Side,0.0,0.36250000000000004,30,30.659833908
0cb_70W,Side,0.0,0.1375,30,33.955661774
0cb_70W,Side,0.0,0.15000000000000002,30,34.078075409
0cb_70W,Side,0.0,0.35000000000000003,30,30.853443146
0cb_70W,Side,0.0,0.17500000000000002,30,33.521484375
0cb_70W,Side,0.0,0.1875,30,33.30380249
0cb_70W,Side,0.0,0.1625,30,33.955661774
0cb_70W,Top,0.7333333333333334,0.0,60,24.138
0cb_70W,Top,0.7,0.0,60,24.028
0cb_70W,Top,0.6666666666666666,0.0,60,24.357
0cb_70W,Top,0.6333333333333333,0.0,60,24.539
0cb_70W,Top,0.6,0.0,60,24.284
0cb_70W,Top,0.5666666666666667,0.0,60,24.539
0cb_70W,Top,0.5333333333333333,0.0,60,24.575
0cb_70W,Top,0.5,0.0,60,24.138
0cb_70W,Top,0.4666666666666667,0.0,60,24.247
0cb_70W,Top,0.43333333333333335,0.0,60,24.575
0cb_70W,Top,0.3666666666666667,0.0,60,25.698
0cb_70W,Top,0.3333333333333333,0.0,60,26.167
0cb_70W,Top,0.26666666666666666,0.0,60,28.094
0cb_70W,Top,0.23333333333333334,0.0,60,28.872
0cb_70W,Top,0.2,0.0,60,29.33
0cb_70W,Top,0.16666666666666666,0.0,60,29.715
0cb_70W,Top,0.13333333333333333,0.0,60,31.491
0cb_70W,Top,0.1,0.0,60,32.868
0cb_70W,Top,0.06666666666666667,0.0,60,34.401
0cb_70W,Top,0.03333333333333333,0.0,60,35.65
0cb_70W,Top,0.0,0.0,60,37.553
0cb_70W,Top,0.4,0.0,60,25.047
0cb_70W,Top,0.3,0.0,60,27.562
0cb_70W,Side,0.0,0.48750000000000004,60,36.269779205
0cb_70W,Side,0.0,0.0,60,44.148792267
0cb_70W,Side,0.0,0.275,60,37.355564117
0cb_70W,Side,0.0,0.28750000000000003,60,37.163032532
0cb_70W,Side,0.0,0.30000000000000004,60,36.583621979
0cb_70W,Side,0.0,0.3125,60,35.741809845
0cb_70W,Side,0.0,0.325,60,34.931507111
0cb_70W,Side,0.0,0.3375,60,34.58523941
0cb_70W,Side,0.0,0.35000000000000003,60,34.219169617
0cb_70W,Side,0.0,0.36250000000000004,60,33.974502563
0cb_70W,Side,0.0,0.375,60,33.776519775
0cb_70W,Side,0.0,0.3875,60,34.040424347
0cb_70W,Side,0.0,0.4,60,34.228569031
0cb_70W,Side,0.0,0.41250000000000003,60,34.162754059
0cb_70W,Side,0.0,0.42500000000000004,60,33.776519775
0cb_70W,Side,0.0,0.4375,60,33.804821014
0cb_70W,Side,0.0,0.45,60,33.927391052
0cb_70W,Side,0.0,0.4625,60,34.228569031
0cb_70W,Side,0.0,0.47500000000000003,60,35.080936432
0cb_70W,Side,0.0,0.2625,60,37.190555573
0cb_70W,Top,0.7666666666666667,0.0,60,24.757
0cb_70W,Side,0.0,0.25,60,36.223556519
0cb_70W,Side,0.0,0.225,60,36.168067932
0cb_70W,Side,0.0,0.0125,60,43.922863007
0cb_70W,Side,0.0,0.025,60,40.59261322
0cb_70W,Side,0.0,0.037500000000000006,60,38.204605103
0cb_70W,Side,0.0,0.05,60,36.970199585
0cb_70W,Side,0.0,0.0625,60,36.666564941
0cb_70W,Side,0.0,0.07500000000000001,60,36.546741486
0cb_70W,Side,0.0,0.08750000000000001,60,36.970199585
0cb_70W,Side,0.0,0.1,60,37.383045197
0cb_70W,Side,0.0,0.1125,60,37.68491745
0cb_70W,Side,0.0,0.125,60,38.268276215
0cb_70W,Side,0.0,0.1375,60,38.885101318
0cb_70W,Side,0.0,0.15000000000000002,60,38.803638458
0cb_70W,Side,0.0,0.1625,60,38.077163696
0cb_70W,Side,0.0,0.17500000000000002,60,37.483753204
0cb_70W,Side,0.0,0.1875,60,37.153858185
0cb_70W,Side,0.0,0.2,60,36.933437347
0cb_70W,Side,0.0,0.21250000000000002,60,36.436031342
0cb_70W,Side,0.0,0.23750000000000002,60,36.186569214
0cb_70W,Top,0.8,0.0,60,24.866
