X_cm,Y_cm,Temperature_C
0,0.0,32.295379639
0,0.1,32.027561188
0,0.2,31.816701889
0,0.30000000000000004,31.864658356
0,0.0,126.102752686
0,0.1,115.827461243
0,0.2,96.062217712
0,0.30000000000000004,75.415245056
0,0.4,58.845470428
0,0.5,46.915046692
0,0.6000000000000001,38.131797791
0,0.7000000000000001,32.886253357
0,0.8,29.667366028
0,0.9,27.666288376
0,1.0,26.325786591
0,1.1,25.649482727
0,1.2000000000000002,25.274234772
0,1.3,25.091222763
0,1.4000000000000001,24.765119553
0,1.5,24.519908905
0,1.6,24.703866959
0,1.7000000000000002,24.489219666
0,1.8,24.601705551
0,1.9000000000000001,24.499448776
0,2.0,24.448286057
0,2.1,24.489219666
0,2.2,24.417575836
0,2.3000000000000003,24.417575836
0,2.4000000000000004,24.397098541
0,2.5,24.151065826
0,2.6,24.161329269
0,2.7,24.274150848
0,2.8000000000000003,24.253646851
0,2.9000000000000004,24.233139038
0,3.0,24.253646851
0,3.1,24.407337189
0,3.2,24.397098541
0,3.3000000000000003,24.376617432
0,3.4000000000000004,24.12027359
0,3.5,24.243392944
0,3.6,24.499448776
0,3.7,24.560813904
0,3.8000000000000003,24.212625504
0,3.9000000000000004,24.366374969
0,4.0,24.540363312
0,4.1000000000000005,24.335641861
0,4.2,24.468753815
0,4.3,24.530136108
0,4.4,24.530136108
0,4.5,24.499448776
0,4.6000000000000005,24.47898674
0,4.7,24.519908905
0,4.800000000000001,25.01996994
0,4.9,25.101398468
0,0.0,138.331420898
0,0.1,132.705657959
0,0.2,114.931869507
0,0.30000000000000004,92.900566101
0,0.4,72.804290771
0,0.5,57.094367981
0,0.6000000000000001,45.753768921
0,0.7000000000000001,37.630088806
0,0.8,32.829204559
0,0.9,29.81385231
0,1.0,27.79549408
0,1.1,26.345912933
0,1.2000000000000002,25.720333099
0,1.3,25.131917953
0,1.4000000000000001,25.111572266
0,1.5,24.95885849
0,1.6,24.683443069
0,1.7000000000000002,24.673229218
0,1.8,24.366374969
0,1.9000000000000001,24.397098541
0,2.0,24.376617432
0,2.1,24.468753815
0,2.2,24.509679794
0,2.3000000000000003,24.325395584
0,2.4000000000000004,24.448286057
0,2.5,24.263898849
0,2.6,24.11000824
0,2.7,24.048391342
0,2.8000000000000003,24.181850433
0,2.9000000000000004,24.34588623
0,3.0,24.253646851
0,3.1,24.315149307
0,3.2,24.458520889
0,3.3000000000000003,24.489219666
0,3.4000000000000004,24.438051224
0,3.5,24.099740982
0,3.6,24.366374969
0,3.7,24.3561306
0,3.8000000000000003,24.386857986
0,3.9000000000000004,24.3561306
0,4.0,24.407337189
0,4.1000000000000005,24.448286057
0,4.2,24.294652939
0,4.3,24.263898849
0,4.4,24.489219666
0,4.5,24.427814484
0,4.6000000000000005,24.601705551
0,4.7,24.530136108
0,4.800000000000001,24.540363312
0,4.9,24.907907486
0,0.0,156.367080688
0,0.1,155.773773193
0,0.2,138.921966553
0,0.30000000000000004,115.571128845
0,0.4,92.2759552
0,0.5,72.704406738
0,0.6000000000000001,57.685661316
0,0.7000000000000001,46.412506104
0,0.8,38.821743011
0,0.9,33.521484375
0,1.0,30.184122086
0,1.1,28.033641815
0,1.2000000000000002,26.627288818
0,1.3,26.023469925
0,1.4000000000000001,25.467088699
0,1.5,25.081047058
0,1.6,24.877325058
0,1.7000000000000002,24.693655014
0,1.8,24.5710392
0,1.9000000000000001,24.519908905
0,2.0,24.499448776
0,2.1,24.438051224
0,2.2,24.417575836
0,2.3000000000000003,24.438051224
0,2.4000000000000004,24.304901123
0,2.5,24.274150848
0,2.6,24.038118362
0,2.7,24.068933487
0,2.8000000000000003,23.945619583
0,2.9000000000000004,23.935337067
0,3.0,24.089471817
0,3.1,24.233139038
0,3.2,24.11000824
0,3.3000000000000003,24.058662415
0,3.4000000000000004,24.233139038
0,3.5,24.386857986
0,3.6,24.397098541
0,3.7,24.407337189
0,3.8000000000000003,24.253646851
0,3.9000000000000004,24.386857986
0,4.0,24.253646851
0,4.1000000000000005,24.099740982
0,4.2,24.151065826
0,4.3,24.284402847
0,4.4,24.335641861
0,4.5,24.468753815
0,4.6000000000000005,24.397098541
0,4.7,24.376617432
0,4.800000000000001,24.550590515
0,4.9,24.86713028
0,0.0,74.986457825
0,0.1,73.174743652
0,0.2,62.978851318
0,0.30000000000000004,50.761745453
0,0.4,41.517555237
0,0.5,34.856719971
0,0.6000000000000001,30.756677628
0,0.7000000000000001,28.122819901
0,0.8,26.95800972
0,0.9,25.912416458
0,1.0,25.3859272
0,1.1,25.314863205
0,1.2000000000000002,24.969047546
0,1.3,24.652797699
0,1.4000000000000001,24.581262589
0,1.5,24.47898674
0,1.6,24.468753815
0,1.7000000000000002,24.304901123
0,1.8,24.3561306
0,1.9000000000000001,24.376617432
0,2.0,24.233139038
0,2.1,24.222883224
0,2.2,24.304901123
0,2.3000000000000003,24.315149307
0,2.4000000000000004,24.12027359
0,2.5,24.294652939
0,2.6,24.233139038
0,2.7,24.058662415
0,2.8000000000000003,24.007293701
0,2.9000000000000004,24.089471817
0,3.0,24.181850433
0,3.1,24.222883224
0,3.2,24.366374969
0,3.3000000000000003,24.386857986
0,3.4000000000000004,24.519908905
0,3.5,24.294652939
0,3.6,24.386857986
0,3.7,24.417575836
0,3.8000000000000003,24.427814484
0,3.9000000000000004,24.335641861
0,4.0,24.397098541
0,4.1000000000000005,24.366374969
0,4.2,24.540363312
0,4.3,24.448286057
0,4.4,24.47898674
0,4.5,24.499448776
0,4.6000000000000005,24.5710392
0,4.7,24.458520889
0,4.800000000000001,24.714078903
0,4.9,24.938482285
0,0.0,184.571762085
0,0.1,180.504653931
0,0.2,160.989959717
0,0.30000000000000004,135.237625122
0,0.4,109.790710449
0,0.5,88.262329102
0,0.6000000000000001,70.187179565
0,0.7000000000000001,56.556167603
0,0.8,46.864028931
0,0.9,39.768718719
0,1.0,34.688285828
0,1.1,31.326431274
0,1.2000000000000002,28.85341835
0,1.3,27.377527237
0,1.4000000000000001,26.325786591
0,1.5,25.740568161
0,1.6,25.335172653
0,1.7000000000000002,24.999603271
0,1.8,24.805934906
0,1.9000000000000001,24.581262589
0,2.0,24.632364273
0,2.1,24.468753815
0,2.2,24.335641861
0,2.3000000000000003,24.366374969
0,2.4000000000000004,24.233139038
0,2.5,24.12027359
0,2.6,24.181850433
0,2.7,24.294652939
0,2.8000000000000003,24.140804291
0,2.9000000000000004,24.192110062
0,3.0,24.212625504
0,3.1,24.202367783
0,3.2,24.3561306
0,3.3000000000000003,24.458520889
0,3.4000000000000004,24.212625504
0,3.5,24.34588623
0,3.6,24.284402847
0,3.7,24.468753815
0,3.8000000000000003,24.325395584
0,3.9000000000000004,24.253646851
0,4.0,24.274150848
0,4.1000000000000005,24.274150848
0,4.2,24.47898674
0,4.3,24.376617432
0,4.4,24.468753815
0,4.5,24.315149307
0,4.6000000000000005,24.366374969
0,4.7,24.489219666
0,4.800000000000001,24.714078903
0,4.9,24.805934906
